Customer ID,Customer Name,Village,Phone,Default Milk Type
C001,Ramesh,Ranpur,9715280865,Buffalo
C002,Suresh,Kaithoon,9541223715,Cow
C003,Mohan,Sultanpur,9974241102,Buffalo
C004,Rajesh,Bundi,9852758133,Cow
C005,Deepak,Kota,9912491207,Buffalo
C006,Vikram,Rawatbhata,9666261831,Cow
C007,Ajay,Baran,9311972214,Buffalo
C008,Amit,Ramganj,9353701561,Cow
C009,Rohit,Anta,9633344024,Buffalo
C010,Pankaj,Sangod,9232126046,Cow
C011,Sunil,Itawa,9532716095,Buffalo
C012,Mahesh,Digod,9685823022,Cow
C013,Dinesh,Pipalda,9663495508,Buffalo
C014,Narendra,Chechat,9506837580,Cow
C015,Ankit,Khairabad,9347342833,Buffalo
C016,Sachin,Mandana,9750744483,Cow
C017,Yogesh,Ladpura,9636642542,Buffalo
C018,Prakash,Kapren,9754008089,Cow
C019,Harish,Deoli,9210837658,Buffalo
C020,Govind,Uniara,9555434883,Cow
C021,Manoj,Chhabra,9676540828,Buffalo
C022,Naresh,Atru,9627328298,Cow
C023,Ashok,Shahbad,9389816255,Buffalo
C024,Kailash,Aklera,9753453595,Cow
C025,Ravi,Jhalawar,9476254685,Buffalo
C026,Shyam,Khanpur,9451562370,Cow
C027,Lokesh,Pirawa,9191601504,Buffalo
C028,Rakesh,Gagron,9250261531,Cow
C029,Hemant,Dara,9919870841,Buffalo
C030,Nitin,Morang,9110343491,Cow
